columns,score1,score2,score3,score4,score5
('Pressão Atmosférica (atm)', 'Year', 'Month'),0.645760743321719,0.6329849012775842,0.7224157955865272,0.7212543554006968,0.7003484320557491
('Pressão Atmosférica (atm)', 'Year', 'Day'),0.6353077816492451,0.519163763066202,0.7177700348432056,0.7386759581881533,0.7049941927990708
('Pressão Atmosférica (atm)', 'Year', 'Temperatura (ºC)'),0.6085946573751452,0.5075493612078978,0.6887340301974448,0.7293844367015099,0.6887340301974448
('Pressão Atmosférica (atm)', 'Year', 'Sensação Térmica (ºC)'),0.6213704994192799,0.5133565621370499,0.6957026713124274,0.7293844367015099,0.6968641114982579
('Pressão Atmosférica (atm)', 'Year', 'Temperatura Máxima (ºC)'),0.6283391405342624,0.49709639953542395,0.6957026713124274,0.727061556329849,0.6724738675958188
('Pressão Atmosférica (atm)', 'Year', 'Temperatura Mínima (ºC)'),0.6144018583042973,0.5272938443670151,0.7073170731707317,0.7293844367015099,0.6840882694541232
('Pressão Atmosférica (atm)', 'Month', 'Day'),0.586527293844367,0.667828106852497,0.7375145180023229,0.7363530778164924,0.7015098722415796
('Pressão Atmosférica (atm)', 'Month', 'Temperatura (ºC)'),0.5667828106852497,0.6341463414634146,0.7096399535423926,0.7235772357723578,0.6910569105691057
('Pressão Atmosférica (atm)', 'Month', 'Sensação Térmica (ºC)'),0.5795586527293844,0.6434378629500581,0.7212543554006968,0.727061556329849,0.6968641114982579
('Pressão Atmosférica (atm)', 'Month', 'Temperatura Máxima (ºC)'),0.5656213704994193,0.6329849012775842,0.7166085946573751,0.7421602787456446,0.6852497096399536
('Pressão Atmosférica (atm)', 'Month', 'Temperatura Mínima (ºC)'),0.5795586527293844,0.6306620209059234,0.7200929152148664,0.7375145180023229,0.6945412311265969
('Pressão Atmosférica (atm)', 'Day', 'Temperatura (ºC)'),0.5458768873403019,0.5156794425087108,0.7293844367015099,0.7328687572590011,0.6794425087108014
('Pressão Atmosférica (atm)', 'Day', 'Sensação Térmica (ºC)'),0.5609756097560976,0.5203252032520326,0.7235772357723578,0.7386759581881533,0.6875725900116144
('Pressão Atmosférica (atm)', 'Day', 'Temperatura Máxima (ºC)'),0.5667828106852497,0.5238095238095238,0.7166085946573751,0.7340301974448316,0.6794425087108014
('Pressão Atmosférica (atm)', 'Day', 'Temperatura Mínima (ºC)'),0.554006968641115,0.5342624854819977,0.7131242740998839,0.7386759581881533,0.6852497096399536
('Pressão Atmosférica (atm)', 'Temperatura (ºC)', 'Sensação Térmica (ºC)'),0.562137049941928,0.4912891986062718,0.7061556329849012,0.727061556329849,0.6724738675958188
('Pressão Atmosférica (atm)', 'Temperatura (ºC)', 'Temperatura Máxima (ºC)'),0.5458768873403019,0.5040650406504065,0.6887340301974448,0.743321718931475,0.6515679442508711
('Pressão Atmosférica (atm)', 'Temperatura (ºC)', 'Temperatura Mínima (ºC)'),0.554006968641115,0.5145180023228804,0.7131242740998839,0.7409988385598142,0.6666666666666666
('Pressão Atmosférica (atm)', 'Sensação Térmica (ºC)', 'Temperatura Máxima (ºC)'),0.5458768873403019,0.5040650406504065,0.6968641114982579,0.7224157955865272,0.6724738675958188
('Pressão Atmosférica (atm)', 'Sensação Térmica (ºC)', 'Temperatura Mínima (ºC)'),0.5644599303135889,0.5156794425087108,0.7003484320557491,0.7386759581881533,0.6806039488966318
('Pressão Atmosférica (atm)', 'Temperatura Máxima (ºC)', 'Temperatura Mínima (ºC)'),0.5354239256678281,0.5005807200929152,0.6933797909407665,0.7293844367015099,0.6515679442508711
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Nível de nebulosidade (%)'),0.5481997677119629,0.47038327526132406,0.6887340301974448,0.7363530778164924,0.686411149825784
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Year'),0.6236933797909407,0.4959349593495935,0.6910569105691057,0.735191637630662,0.6840882694541232
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Month'),0.570267131242741,0.6144018583042973,0.7200929152148664,0.7293844367015099,0.6817653890824622
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Day'),0.5598141695702671,0.49361207897793263,0.7015098722415796,0.7398373983739838,0.6771196283391405
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Temperatura (ºC)'),0.5435540069686411,0.4878048780487805,0.6794425087108014,0.7305458768873403,0.6759581881533101
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Sensação Térmica (ºC)'),0.554006968641115,0.4912891986062718,0.6945412311265969,0.7375145180023229,0.667828106852497
('Velocidade do vento (m/s)', 'Avaliação qualitativa do estado do tempo', 'Temperatura Máxima (ºC)'),0.5423925667828107,0.5017421602787456,0.6875725900116144,0.7375145180023229,0.6608594657375145
